iteration,PG_cost,PGGL_cost
449,6231.0,5665.0
450,6231.0,5663.0
451,6229.0,7058.0
452,6227.0,6244.0
453,6226.0,6035.0
454,6226.0,5949.0
455,6225.0,5894.0
456,6224.0,5869.0
457,6224.0,5837.0
458,6223.0,5816.0
459,6222.0,5796.0
460,6221.0,5777.0
461,6220.0,5758.0
462,6219.0,5740.0
463,6219.0,5724.0
464,6219.0,5718.0
465,6218.0,5709.0
466,6217.0,5696.0
467,6217.0,5684.0
468,6217.0,5673.0
469,6217.0,5660.0
470,6216.0,5654.0
471,6216.0,5651.0
472,6216.0,5646.0
473,6214.0,5640.0
474,6213.0,5631.0
475,6213.0,5629.0
476,6213.0,5622.0
477,6212.0,5615.0
478,6212.0,5613.0
479,6210.0,5606.0
480,6210.0,5602.0
481,6210.0,5595.0
482,6208.0,5591.0
483,6207.0,5585.0
484,6207.0,5582.0
485,6206.0,5578.0
486,6206.0,5574.0
487,6205.0,5567.0
488,6205.0,5563.0
489,6204.0,5557.0
490,6202.0,5551.0
491,6201.0,5551.0
492,6201.0,5545.0
493,6201.0,5543.0
494,6200.0,5541.0
495,6200.0,5536.0
496,6199.0,5535.0
497,6198.0,5535.0
498,6198.0,5533.0
499,6197.0,5531.0
500,6196.0,5529.0
501,6195.0,6932.0
502,6194.0,6159.0
503,6193.0,5955.0
504,6193.0,5857.0
505,6191.0,5784.0
506,6191.0,5737.0
507,6191.0,5709.0
508,6191.0,5683.0
509,6190.0,5668.0
510,6190.0,5651.0
511,6188.0,5635.0
512,6188.0,5621.0
513,6186.0,5609.0
514,6186.0,5589.0
515,6185.0,5574.0
516,6183.0,5562.0
517,6181.0,5552.0
518,6180.0,5544.0
519,6179.0,5533.0
520,6178.0,5525.0
521,6177.0,5517.0
522,6176.0,5501.0
523,6175.0,5492.0
524,6175.0,5482.0
525,6173.0,5475.0
526,6173.0,5469.0
527,6171.0,5462.0
528,6170.0,5458.0
529,6170.0,5456.0
530,6168.0,5453.0
531,6167.0,5447.0
532,6167.0,5441.0
533,6165.0,5437.0
534,6162.0,5429.0
535,6161.0,5424.0
536,6159.0,5420.0
537,6157.0,5418.0
538,6157.0,5415.0
539,6156.0,5412.0
540,6156.0,5407.0
541,6153.0,5404.0
542,6152.0,5401.0
543,6151.0,5393.0
544,6150.0,5390.0
545,6148.0,5387.0
546,6148.0,5382.0
547,6148.0,5372.0
548,6146.0,5371.0
549,6146.0,5369.0
550,6146.0,5364.0
551,6146.0,6743.0
552,6145.0,5977.0
553,6144.0,5762.0
554,6144.0,5674.0
555,6144.0,5608.0
556,6143.0,5562.0
557,6143.0,5528.0
558,6142.0,5502.0
559,6141.0,5486.0
560,6140.0,5471.0
561,6138.0,5455.0
562,6138.0,5445.0
563,6138.0,5432.0
564,6134.0,5420.0
565,6134.0,5409.0
566,6134.0,5402.0
567,6133.0,5391.0
568,6133.0,5384.0
569,6132.0,5375.0
570,6132.0,5358.0
571,6131.0,5348.0
572,6131.0,5339.0
573,6131.0,5328.0
574,6130.0,5319.0
575,6129.0,5313.0
576,6129.0,5309.0
577,6129.0,5303.0
578,6129.0,5298.0
579,6129.0,5294.0
580,6129.0,5289.0
581,6129.0,5285.0
582,6127.0,5279.0
583,6126.0,5277.0
584,6126.0,5272.0
585,6126.0,5268.0
586,6126.0,5264.0
587,6125.0,5256.0
588,6124.0,5251.0
589,6124.0,5250.0
590,6123.0,5244.0
591,6123.0,5240.0
592,6122.0,5237.0
593,6122.0,5234.0
594,6121.0,5231.0
595,6121.0,5229.0
596,6119.0,5223.0
597,6118.0,5220.0
598,6117.0,5214.0
599,6117.0,5209.0
600,6117.0,5205.0
601,6115.0,6573.0
602,6115.0,5801.0
603,6115.0,5614.0
604,6113.0,5517.0
605,6113.0,5457.0
606,6113.0,5410.0
607,6113.0,5375.0
608,6113.0,5348.0
609,6112.0,5319.0
610,6112.0,5299.0
611,6112.0,5280.0
612,6112.0,5265.0
613,6112.0,5251.0
614,6111.0,5242.0
615,6109.0,5230.0
616,6108.0,5225.0
617,6108.0,5216.0
618,6108.0,5210.0
619,6107.0,5204.0
620,6107.0,5200.0
621,6106.0,5193.0
622,6106.0,5184.0
623,6106.0,5176.0
624,6105.0,5168.0
625,6105.0,5160.0
626,6105.0,5155.0
627,6105.0,5151.0
628,6105.0,5147.0
629,6105.0,5141.0
630,6104.0,5141.0
631,6104.0,5135.0
632,6103.0,5130.0
633,6103.0,5125.0
634,6103.0,5122.0
635,6103.0,5114.0
636,6103.0,5108.0
637,6103.0,5105.0
638,6103.0,5102.0
639,6103.0,5100.0
640,6103.0,5097.0
641,6103.0,5095.0
642,6103.0,5089.0
643,6102.0,5084.0
644,6102.0,5082.0
645,6102.0,5080.0
646,6101.0,5077.0
647,6100.0,5073.0
648,6099.0,5068.0
649,6099.0,5067.0
650,6098.0,5065.0
651,6098.0,6315.0
652,6098.0,5589.0
653,6098.0,5396.0
654,6098.0,5323.0
655,6095.0,5274.0
656,6095.0,5230.0
657,6095.0,5200.0
658,6094.0,5178.0
659,6094.0,5160.0
660,6094.0,5138.0
661,6094.0,5115.0
662,6093.0,5106.0
663,6092.0,5092.0
