iteration,PG_cost,PGGL_cost
504,65794.0,72794.0
505,65794.0,72793.0
506,65794.0,72796.0
507,65794.0,72794.0
508,65793.0,72792.0
509,65793.0,72790.0
510,65792.0,72788.0
511,65792.0,72787.0
512,65792.0,72784.0
513,65792.0,72785.0
514,65792.0,72784.0
515,65789.0,72786.0
516,65789.0,72786.0
517,65788.0,72784.0
518,65788.0,72782.0
519,65788.0,72778.0
520,65790.0,72776.0
521,65789.0,72776.0
522,65790.0,72774.0
523,65789.0,72772.0
524,65788.0,72771.0
525,65789.0,72772.0
526,65790.0,72773.0
527,65785.0,72771.0
528,65785.0,72768.0
529,65785.0,72766.0
530,65785.0,72768.0
531,65785.0,72765.0
532,65787.0,72765.0
533,65785.0,72766.0
534,65785.0,72765.0
535,65785.0,72766.0
536,65784.0,72766.0
537,65784.0,72765.0
538,65784.0,72762.0
539,65784.0,72758.0
540,65786.0,72757.0
541,65785.0,72750.0
542,65783.0,72749.0
543,65783.0,72753.0
544,65782.0,72748.0
545,65782.0,72748.0
546,65782.0,72746.0
547,65782.0,72744.0
548,65782.0,72749.0
549,65782.0,72745.0
550,65781.0,72746.0
551,65781.0,72745.0
552,65781.0,72746.0
553,65781.0,72743.0
554,65781.0,72742.0
555,65781.0,72742.0
556,65780.0,72743.0
557,65781.0,72742.0
558,65780.0,72740.0
559,65780.0,72738.0
560,65778.0,72736.0
561,65780.0,72736.0
562,65779.0,72736.0
563,65780.0,72737.0
564,65778.0,72739.0
565,65777.0,72733.0
566,65776.0,72732.0
567,65776.0,72728.0
568,65776.0,72729.0
569,65776.0,72727.0
570,65777.0,72727.0
571,65777.0,72722.0
572,65776.0,72726.0
573,65776.0,72720.0
574,65776.0,72719.0
575,65776.0,72720.0
576,65776.0,72719.0
577,65777.0,72720.0
578,65776.0,72717.0
579,65776.0,72718.0
580,65776.0,72719.0
581,65776.0,72716.0
582,65776.0,72715.0
583,65775.0,72713.0
584,65775.0,72709.0
585,65776.0,72709.0
586,65777.0,72709.0
587,65777.0,72708.0
588,65776.0,72705.0
589,65776.0,72706.0
590,65776.0,72705.0
591,65776.0,72703.0
592,65775.0,72702.0
593,65776.0,72702.0
594,65776.0,72702.0
595,65774.0,72703.0
596,65774.0,72701.0
597,65774.0,72704.0
598,65775.0,72702.0
599,65775.0,72699.0
600,65772.0,72698.0
601,65771.0,78019.0
602,65771.0,76964.0
603,65771.0,76728.0
604,65771.0,76613.0
605,65771.0,76555.0
606,65771.0,76509.0
607,65769.0,76457.0
608,65768.0,76430.0
609,65768.0,76414.0
610,65767.0,76394.0
611,65767.0,76377.0
612,65767.0,76366.0
613,65767.0,76352.0
614,65767.0,76336.0
615,65770.0,76325.0
616,65767.0,76314.0
617,65768.0,76307.0
618,65769.0,76296.0
619,65765.0,76283.0
620,65766.0,76276.0
621,65765.0,76272.0
622,65765.0,76256.0
623,65765.0,76254.0
624,65765.0,76243.0
625,65765.0,76241.0
626,65765.0,76232.0
627,65765.0,76224.0
628,65765.0,76218.0
629,65765.0,76214.0
630,65766.0,76208.0
631,65764.0,76201.0
632,65764.0,76195.0
633,65766.0,76186.0
634,65764.0,76182.0
635,65765.0,76178.0
636,65764.0,76173.0
637,65764.0,76170.0
638,65764.0,76166.0
639,65765.0,76167.0
640,65764.0,76164.0
641,65762.0,76163.0
642,65762.0,76159.0
643,65761.0,76159.0
644,65760.0,76153.0
645,65760.0,76152.0
646,65761.0,76150.0
647,65761.0,76148.0
648,65759.0,76149.0
649,65760.0,76143.0
650,65760.0,76146.0
651,65758.0,76144.0
652,65759.0,76135.0
653,65759.0,76137.0
654,65758.0,76132.0
655,65758.0,76126.0
656,65758.0,76116.0
657,65759.0,76120.0
658,65758.0,76112.0
659,65757.0,76114.0
660,65757.0,76106.0
661,65758.0,76107.0
662,65757.0,76104.0
663,65757.0,76095.0
664,65758.0,76099.0
665,65756.0,76094.0
666,65756.0,76093.0
667,65758.0,76095.0
668,65756.0,76090.0
669,65759.0,76085.0
